month,Monthly_Mean_RH_percent,Monthly_Mean_Tdb_C,Chiller_On_Hours,Total_Water_L,Total_HeatPump_Elec_kWh,Completed_Cycles,Mean_COP,city,scenario,T_target_C
2,66.5515198552886,20.862109955423477,148,1095411.5239781523,319330.40576496924,74.0,2.950142859776288,MI,80C,80.0
3,68.1338356849262,21.568236877523553,192,1564046.223890976,455668.0860500864,96.0,2.9946146069507247,MI,80C,80.0
4,67.07553088925727,24.112083333333334,217,2238047.7305373005,634265.0205245062,109.0,3.0266671271482743,MI,80C,80.0
5,71.73906804910918,26.409005376344084,461,6775624.902650096,1844817.4404926493,230.0,3.1570848189576712,MI,80C,80.0
6,74.74276811180368,27.683194444444446,571,11124661.982285948,2934342.909173675,286.0,3.2889840564292165,MI,80C,80.0
7,73.61359658525963,28.125672043010752,619,12955169.203911602,3400393.4909203458,309.0,3.316414029779878,MI,80C,80.0
8,75.15947717419874,27.975,615,12935209.618298765,3393662.165129589,308.0,3.3190202785942144,MI,80C,80.0
9,75.22145422359935,27.49263888888889,546,10027770.879645856,2650350.3425846146,273.0,3.271258187754694,MI,80C,80.0
10,73.82988974137072,26.351478494623656,473,7061518.324250642,1897707.7137240225,236.0,3.1969940379663533,MI,80C,80.0
11,74.20197977927236,23.585694444444446,337,4207262.567802513,1154370.2021863796,169.0,3.112752748073696,MI,80C,80.0
12,76.27373492255583,20.29717741935484,232,1623274.3638528364,470941.969348358,115.0,2.991790755718074,MI,80C,80.0
1,65.196816173998,-11.376209677419354,0,0.0,0.0,0.0,,MSP,60C,60.0
2,62.79845419144799,-4.851857355126301,0,0.0,0.0,0.0,,MSP,60C,60.0
3,62.3670590751901,2.0403768506056528,0,0.0,0.0,0.0,,MSP,60C,60.0
4,63.762717130341386,7.5320833333333335,17,272586.5078375208,53389.57984846081,6.0,4.420204009998621,MSP,60C,60.0
5,59.052571210091365,16.498521505376342,74,745208.4380443011,145922.85448044885,25.0,4.377544992400348,MSP,60C,60.0
6,59.178335110164255,20.355277777777776,105,1091990.8113259834,217182.69675552385,35.0,4.305578798297953,MSP,60C,60.0
7,65.99331653184721,23.77298387096774,299,3751711.1161619355,655603.3437193036,99.0,4.853792264798666,MSP,60C,60.0
8,71.00120300805314,20.64462365591398,238,2268721.8984563816,424254.1257461661,80.0,4.538330951443242,MSP,60C,60.0
9,68.85850718322177,15.832916666666668,70,485960.38882707973,97208.38810087733,22.0,4.339680641581089,MSP,60C,60.0
10,71.47462356922654,8.213037634408602,0,0.0,0.0,0.0,,MSP,60C,60.0
11,68.34844831381504,0.3084722222222222,0,0.0,0.0,0.0,,MSP,60C,60.0
12,66.01810410847472,-6.971102150537634,0,0.0,0.0,0.0,,MSP,60C,60.0
1,65.196816173998,-11.376209677419354,0,0.0,0.0,0.0,,MSP,80C,80.0
2,62.79845419144799,-4.851857355126301,0,0.0,0.0,0.0,,MSP,80C,80.0
3,62.3670590751901,2.0403768506056528,0,0.0,0.0,0.0,,MSP,80C,80.0
4,63.762717130341386,7.5320833333333335,17,319898.7903515766,94972.21319877355,9.0,2.944401580626282,MSP,80C,80.0
5,59.052571210091365,16.498521505376342,74,832169.0639883539,245083.05940848758,37.0,2.927536642534848,MSP,80C,80.0
6,59.178335110164255,20.355277777777776,105,1297461.736537219,386272.12951218575,52.0,2.898749523695672,MSP,80C,80.0
7,65.99331653184721,23.77298387096774,299,4380920.646569637,1200939.852377367,150.0,3.11207477719889,MSP,80C,80.0
8,71.00120300805314,20.64462365591398,238,2640190.2448433777,756037.9341085552,119.0,2.9909714978494186,MSP,80C,80.0
9,68.85850718322177,15.832916666666668,70,582272.6061287309,173763.65975056862,34.0,2.9083238270924987,MSP,80C,80.0
10,71.47462356922654,8.213037634408602,0,0.0,0.0,0.0,,MSP,80C,80.0
11,68.34844831381504,0.3084722222222222,0,0.0,0.0,0.0,,MSP,80C,80.0
12,66.01810410847472,-6.971102150537634,0,0.0,0.0,0.0,,MSP,80C,80.0
1,70.14977699566236,14.014112903225806,0,0.0,0.0,0.0,,SD,60C,60.0
2,73.84643539687333,15.011589895988111,0,0.0,0.0,0.0,,SD,60C,60.0
