Time,ZONE::Des Heat Load [W],ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE::Des Heat Mass Flow [kg/s],ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE::Des Latent Heat Load [W],ZONE::Des Latent Cool Load [W],ZONE::Des Latent Heat Mass Flow [kg/s],ZONE::Des Latent Cool Mass Flow [kg/s],ZONE::Des Heat Load No DOAS [W],ZONE::Des Sens Cool Load No DOAS [W],ZONE::Des Latent Heat Load No DOAS [W],ZONE::Des Latent Cool Load No DOAS [W],ZONE::Heating Zone Temperature [C],ZONE::Heating Zone Relative Humidity [%],ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
11:00:00,0.000000E+00,1.698606E+07,0.000000E+00,1.956236E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
12:00:00,0.000000E+00,1.702031E+07,0.000000E+00,1.960181E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
13:00:00,0.000000E+00,1.704313E+07,0.000000E+00,1.962808E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
14:00:00,0.000000E+00,1.705351E+07,0.000000E+00,1.964003E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
15:00:00,0.000000E+00,1.705126E+07,0.000000E+00,1.963745E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
16:00:00,0.000000E+00,1.703633E+07,0.000000E+00,1.962026E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
17:00:00,0.000000E+00,1.700997E+07,0.000000E+00,1.958989E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
18:00:00,0.000000E+00,1.697380E+07,0.000000E+00,1.954824E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
19:00:00,0.000000E+00,1.693052E+07,0.000000E+00,1.949839E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
20:00:00,0.000000E+00,1.688854E+07,0.000000E+00,1.945004E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
21:00:00,0.000000E+00,1.686042E+07,0.000000E+00,1.941767E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
22:00:00,0.000000E+00,1.684404E+07,0.000000E+00,1.939880E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
23:00:00,0.000000E+00,1.683411E+07,0.000000E+00,1.938737E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
24:00:00,0.000000E+00,1.682751E+07,0.000000E+00,1.937977E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
Peak,0.000000E+00,1.705351E+07,0.000000E+00,1.964003E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,,,,

Peak Vol Flow (m3/s),,,0.000000E+00,1.697551E+03,,,0.000000E+00,0.000000E+00,,,,,,,,
