Time,DATA CENTER ZONE::Des Heat Load [W],DATA CENTER ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],DATA CENTER ZONE::Des Heat Mass Flow [kg/s],DATA CENTER ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],DATA CENTER ZONE::Des Latent Heat Load [W],DATA CENTER ZONE::Des Latent Cool Load [W],DATA CENTER ZONE::Des Latent Heat Mass Flow [kg/s],DATA CENTER ZONE::Des Latent Cool Mass Flow [kg/s],DATA CENTER ZONE::Des Heat Load No DOAS [W],DATA CENTER ZONE::Des Sens Cool Load No DOAS [W],DATA CENTER ZONE::Des Latent Heat Load No DOAS [W],DATA CENTER ZONE::Des Latent Cool Load No DOAS [W],DATA CENTER ZONE::Heating Zone Temperature [C],DATA CENTER ZONE::Heating Zone Relative Humidity [%],DATA CENTER ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],DATA CENTER ZONE:PHOENIX ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
11:00:00,0.000000E+00,1.694276E+07,0.000000E+00,1.951249E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
12:00:00,0.000000E+00,1.696105E+07,0.000000E+00,1.953355E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
13:00:00,0.000000E+00,1.697402E+07,0.000000E+00,1.954849E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
14:00:00,0.000000E+00,1.698087E+07,0.000000E+00,1.955638E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
15:00:00,0.000000E+00,1.698107E+07,0.000000E+00,1.955661E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
16:00:00,0.000000E+00,1.697440E+07,0.000000E+00,1.954893E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
17:00:00,0.000000E+00,1.696138E+07,0.000000E+00,1.953393E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
18:00:00,0.000000E+00,1.694280E+07,0.000000E+00,1.951254E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
19:00:00,0.000000E+00,1.692007E+07,0.000000E+00,1.948636E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
20:00:00,0.000000E+00,1.689778E+07,0.000000E+00,1.946068E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
21:00:00,0.000000E+00,1.688272E+07,0.000000E+00,1.944334E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
22:00:00,0.000000E+00,1.687353E+07,0.000000E+00,1.943277E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
23:00:00,0.000000E+00,1.686747E+07,0.000000E+00,1.942578E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
24:00:00,0.000000E+00,1.686299E+07,0.000000E+00,1.942062E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.850743E+01,3.502983E+01
Peak,0.000000E+00,1.698107E+07,0.000000E+00,1.955661E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,,,,

Peak Vol Flow (m3/s),,,0.000000E+00,1.690341E+03,,,0.000000E+00,0.000000E+00,,,,,,,,
